uri:/instrument/1.0/^gdaxi/chartdata;type=quote;range=1d/csv
ticker:^gdaxi
Company-Name:DAX
Exchange-Name:GER
unit:MIN
timezone:CEST
currency:EUR
gmtoffset:7200
previous_close:11100.2998
Timestamp:1434697200,1434729600
labels:1434697200,1434700800,1434704400,1434708000,1434711600,1434715200,1434718800,1434722400,1434726000,1434729600
values:Timestamp,close,high,low,open,volume
close:11008.1299,11244.8896
high:11023.7695,11246.2695
low:10997.9004,11239.9600
open:11007.9902,11244.9199
volume:0,0
1434719399,11108.5195,11114.4697,11108.5195,11114.4697,0
1434719459,11094.5303,11108.4004,11093.1602,11108.4004,0
1434719519,11104.8203,11104.8203,11094.6396,11094.7100,0
1434719579,11098.1504,11105.2998,11098.0498,11104.8203,0
1434719639,11083.0996,11098.3398,11083.0996,11098.1504,0
1434719699,11080.8896,11083.8799,11073.7900,11083.0996,0
1434719701,11081.7695,11081.7695,11080.9199,11080.9199,0
1434719773,11086.1299,11087.7500,11084.1797,11087.7500,0
1434719879,11091.7598,11091.7598,11091.7598,11091.7598,0
1434719907,11090.9502,11090.9502,11090.9502,11090.9502,0
1434719999,11092.6699,11093.8096,11092.5303,11093.7998,0
1434720059,11086.5996,11092.6699,11084.9502,11092.6699,0
1434720119,11092.4902,11092.5195,11086.4502,11086.7598,0
1434720179,11081.5098,11091.7900,11081.5098,11091.7900,0
1434720239,11091.4297,11091.4297,11081.2402,11081.2402,0
1434720299,11088.6504,11091.4902,11087.2598,11091.4297,0
1434720359,11087.9697,11088.9805,11086.6904,11088.4600,0
1434720419,11090.5703,11090.9199,11087.3398,11087.8203,0
1434720479,11082.6504,11090.6904,11081.7598,11090.5703,0
1434720539,11078.1797,11082.6504,11078.1797,11082.6504,0
1434720599,11083.2695,11083.2695,11072.8604,11077.9805,0
1434720659,11079.8496,11083.0898,11074.3604,11083.0898,0
1434720719,11095.7402,11096.0498,11078.9199,11079.6299,0
1434720779,11089.5195,11096.5596,11089.2900,11095.7402,0
1434720839,11090.2695,11092.0000,11086.0996,11089.5195,0
1434720899,11090.5195,11090.5996,11086.9004,11090.2695,0
1434720959,11096.2598,11097.6104,11090.4004,11090.4297,0
1434721019,11084.8203,11097.4697,11084.3496,11096.2002,0
